category,name,url,checked_date,used_for
Japanese BtoB SaaS,SmartHR case page,https://smarthr.jp/case/,2026-06-12,実績数・継続率・導入事例導線の参考
Japanese BtoB SaaS,SmartHR labor management,https://smarthr.jp/labor-management/,2026-06-12,業務削減効果の見せ方と機能分解の参考
Japanese BtoB SaaS,Money Forward Cloud,https://biz.moneyforward.com/,2026-06-12,規模別導線・無料試用・資料CTAの参考
Japanese BtoB SaaS,freee,https://www.freee.co.jp/,2026-06-12,無料開始・資料ダウンロード・平易な業務コピーの参考
Japanese BtoB SaaS,Chatwork case Triple Good Group,https://go.chatwork.com/ja/case/triplegood.html,2026-06-12,業種別事例・顧客対応・経営指標改善の見せ方
AI SaaS,Microsoft 365 Copilot,https://www.microsoft.com/en-us/microsoft-365-copilot,2026-06-12,既存業務にAIを入れる安心感の参考
AI SaaS,Salesforce Agentforce,https://www.salesforce.com/agentforce/,2026-06-12,AIエージェントを役割・用途で見せる参考
AI SaaS,Salesforce Agentforce use cases,https://www.salesforce.com/agentforce/use-cases/,2026-06-12,用途別入口の参考
AI automation,Zapier,https://zapier.com/,2026-06-12,テンプレート・ノーコード自動化・実績訴求の参考
AI automation,Zapier templates,https://zapier.com/templates,2026-06-12,テンプレート型導線の参考
AI automation,Zapier AI automation article,https://zapier.com/blog/ai-for-business-automation/,2026-06-12,AI自動化の実例の参考
AI SaaS,Notion AI,https://www.notion.com/product/ai,2026-06-12,AIチーム・無料試用・デモ導線の参考
Referral,Dropbox referral program,https://www.dropbox.com/refer,2026-06-12,紹介プログラムの参考
Growth case,Slack launch strategy by First Round Review,https://review.firstround.com/from-0-to-1b-slacks-founder-shares-their-epic-launch-strategy/,2026-06-12,顧客の声・社会的証明の参考
